
A,321
B,262
C,206
D,130
E,23
F,105
G,254
H,205
I,134
J,232
K,108
L,120
M,162
N,133
O,179
P,517
Q,129
R,169
S,173
T,125
U,100
V,141
W,191
X,10
Y,226
Z,727
α,223
α′,619
β,192
Ω,1003
00,1554
0,1272
1,421
1′,544
2,312
3,360
4,385
5,395
6,305
7,566
8,381
8′,430
9,39
10,802
11,541
12,448
13,500
∞,1
Bl,1135
St,1067
Hr,723
Rt,697
Dr,606
Vn,756
Ar,1147
Cn,945
Pr,479
Wh,244
